,RACE,DECADE,ST,RACE2,% Total Pop,% Asian Pop,% Race Pop
40,43,1970 - 1979,2472,Chinese,0.0007913296899729053,0.014740080855783336,5.88%
41,43,1980 - 1989,4973,Chinese,0.0015919427784123212,0.029653083372091636,11.82%
42,43,1990 - 1999,5990,Chinese,0.0019175019591171937,0.0357172671222258,14.24%
43,43,2000 - 2009,6394,Chinese,0.0020468293032713416,0.038126244737814986,15.20%
44,43,2010 or later,8414,Chinese,0.0026934660240420815,0.05017113281576092,20.00%
45,43,Before 1950,88,Chinese,2.8170312588032227e-05,0.0005247277974550702,0.21%
46,43,Born in US,12615,Chinese,0.0040382783329321196,0.07522092232836035,29.98%
47,44,1950 - 1959,1,Taiwanese,3.2011718850036624e-07,5.962815880171252e-06,0.06%
48,44,1960 - 1969,44,Taiwanese,1.4085156294016113e-05,0.0002623638987275351,2.43%
49,44,1970 - 1979,164,Taiwanese,5.2499218914060057e-05,0.0009779018043480853,9.05%
50,44,1980 - 1989,269,Taiwanese,8.611152370659852e-05,0.0016039974717660668,14.84%
51,44,1990 - 1999,271,Taiwanese,8.675175808359924e-05,0.0016159231035264092,14.95%
52,44,2000 - 2009,235,Taiwanese,7.522753929758606e-05,0.0014012617318402442,12.96%
53,44,2010 or later,247,Taiwanese,7.906894555959046e-05,0.0014728155224022993,13.62%
54,44,Born in US,582,Taiwanese,0.00018630820370721315,0.003470358842259669,32.10%
55,45,1950 - 1959,163,Filipino,5.2179101725559694e-05,0.0009719389884679141,0.59%
56,45,1960 - 1969,819,Filipino,0.0002621759773817999,0.004883546205860256,2.99%
57,45,1970 - 1979,2435,Filipino,0.0007794853539983917,0.014519456668216999,8.88%
58,45,1980 - 1989,3626,Filipino,0.001160744925502328,0.02162117038150096,13.23%
59,45,1990 - 1999,3750,Filipino,0.0012004394568763733,0.022360559550642194,13.68%
60,45,2000 - 2009,4777,Filipino,0.0015291998094662494,0.02848437145957807,17.43%
61,45,2010 or later,3869,Filipino,0.0012385334023079168,0.023070134640382576,14.11%
62,45,Before 1950,32,Filipino,1.024375003201172e-05,0.00019081010816548007,0.12%
63,45,Born in US,7940,Filipino,0.0025417304766929077,0.047344758088559744,28.97%
64,46,1950 - 1959,1,Hmong,3.2011718850036624e-07,5.962815880171252e-06,0.04%
65,46,1960 - 1969,9,Hmong,2.8810546965032958e-06,5.366534292154127e-05,0.37%
66,46,1970 - 1979,125,Hmong,4.001464856254578e-05,0.0007453519850214066,5.21%
67,46,1980 - 1989,293,Hmong,9.37943362306073e-05,0.001747105052890177,12.20%
68,46,1990 - 1999,213,Hmong,6.8184961150578e-05,0.0012700797824764768,8.87%
69,46,2000 - 2009,126,Hmong,4.033476575104614e-05,0.0007513148009015778,5.25%
70,46,2010 or later,51,Hmong,1.6325976613518676e-05,0.0003041036098887339,2.12%
71,46,Born in US,1583,Hmong,0.0005067455093960797,0.009439137538311092,65.93%
72,47,1950 - 1959,8,Indonesian,2.56093750800293e-06,4.770252704137002e-05,1.23%
73,47,1960 - 1969,27,Indonesian,8.643164089509889e-06,0.0001609960287646238,4.17%
74,47,1970 - 1979,21,Indonesian,6.722460958507691e-06,0.00012521913348359628,3.24%
75,47,1980 - 1989,45,Indonesian,1.440527348251648e-05,0.00026832671460770633,6.94%
76,47,1990 - 1999,111,Indonesian,3.553300792354065e-05,0.000661872562699009,17.13%
77,47,2000 - 2009,157,Indonesian,5.02583985945575e-05,0.0009361620931868865,24.23%
78,47,2010 or later,138,Indonesian,4.417617201305054e-05,0.0008228685914636328,21.30%
79,47,Born in US,141,Indonesian,4.513652357855164e-05,0.0008407570391041465,21.76%
80,48,1950 - 1959,200,Japanese,6.402343770007324e-05,0.0011925631760342503,2.52%
81,48,1960 - 1969,288,Japanese,9.219375028810546e-05,0.0017172909734893206,3.63%
82,48,1970 - 1979,376,Japanese,0.0001203640628761377,0.002242018770944391,4.74%
83,48,1980 - 1989,428,Japanese,0.00013701015667815674,0.0025520851967132958,5.40%
84,48,1990 - 1999,537,Japanese,0.00017190293022469665,0.0032020321276519624,6.77%
85,48,2000 - 2009,505,Japanese,0.00016165918019268494,0.0030112220194864823,6.37%
86,48,2010 or later,1082,Japanese,0.00034636679795739626,0.006451766782345295,13.64%
87,48,Before 1950,29,Japanese,9.28339846651062e-06,0.0001729216605249663,0.37%
88,48,Born in US,4487,Japanese,0.0014363658248011432,0.026755154854328406,56.57%
89,49,1950 - 1959,50,Korean,1.600585942501831e-05,0.0002981407940085626,0.35%
90,49,1960 - 1969,303,Korean,9.699550811561096e-05,0.0018067332116918893,2.11%
91,49,1970 - 1979,1751,Korean,0.0005605251970641412,0.010440890606179863,12.22%
92,49,1980 - 1989,2394,Korean,0.0007663605492698768,0.014274981217129978,16.71%
93,49,1990 - 1999,1945,Korean,0.0006226279316332123,0.011597676886933085,13.57%
94,49,2000 - 2009,2174,Korean,0.0006959347677997961,0.012963161723492302,15.17%
95,49,2010 or later,1675,Korean,0.0005361962907381134,0.009987716599286846,11.69%
96,49,Before 1950,2,Korean,6.402343770007325e-07,1.1925631760342504e-05,0.01%
97,49,Born in US,4034,Korean,0.0012913527384104772,0.02405399926061083,28.15%
98,50,1950 - 1959,1,Laotian,3.2011718850036624e-07,5.962815880171252e-06,0.06%
99,50,1960 - 1969,4,Laotian,1.280468754001465e-06,2.385126352068501e-05,0.25%
100,50,1970 - 1979,160,Laotian,5.121875016005859e-05,0.0009540505408274003,9.84%
101,50,1980 - 1989,544,Laotian,0.00017414375054419922,0.003243771838813161,33.46%
102,50,1990 - 1999,137,Laotian,4.385605482455017e-05,0.0008169057755834615,8.43%
103,50,2000 - 2009,84,Laotian,2.6889843834030763e-05,0.0005008765339343851,5.17%
104,50,2010 or later,40,Laotian,1.2804687540014648e-05,0.0002385126352068501,2.46%
105,50,Born in US,656,Laotian,0.00020999687565624023,0.003911607217392341,40.34%
106,51,1960 - 1969,1,Malaysian,3.2011718850036624e-07,5.962815880171252e-06,0.55%
107,51,1970 - 1979,2,Malaysian,6.402343770007325e-07,1.1925631760342504e-05,1.10%
108,51,1980 - 1989,19,Malaysian,6.082226581506958e-06,0.00011329350172325379,10.44%
109,51,1990 - 1999,26,Malaysian,8.323046901009521e-06,0.00015503321288445256,14.29%
110,51,2000 - 2009,32,Malaysian,1.024375003201172e-05,0.00019081010816548007,17.58%
111,51,2010 or later,70,Malaysian,2.2408203195025634e-05,0.0004173971116119876,38.46%
112,51,Born in US,32,Malaysian,1.024375003201172e-05,0.00019081010816548007,17.58%
113,52,1950 - 1959,3,Mongolian,9.603515655010987e-07,1.7888447640513757e-05,1.97%
114,52,1970 - 1979,1,Mongolian,3.2011718850036624e-07,5.962815880171252e-06,0.66%
115,52,1980 - 1989,4,Mongolian,1.280468754001465e-06,2.385126352068501e-05,2.63%
116,52,1990 - 1999,16,Mongolian,5.12187501600586e-06,9.540505408274003e-05,10.53%
117,52,2000 - 2009,50,Mongolian,1.600585942501831e-05,0.0002981407940085626,32.89%
118,52,2010 or later,44,Mongolian,1.4085156294016113e-05,0.0002623638987275351,28.95%
119,52,Born in US,34,Mongolian,1.0883984409012451e-05,0.00020273573992582257,22.37%
120,53,1960 - 1969,1,Nepalese,3.2011718850036624e-07,5.962815880171252e-06,0.08%
121,53,1970 - 1979,8,Nepalese,2.56093750800293e-06,4.770252704137002e-05,0.66%
122,53,1980 - 1989,15,Nepalese,4.801757827505493e-06,8.944223820256878e-05,1.23%
123,53,1990 - 1999,59,Nepalese,1.8886914121521607e-05,0.0003518061369301039,4.84%
124,53,2000 - 2009,383,Nepalese,0.00012260488319564027,0.0022837584821055897,31.39%
125,53,2010 or later,545,Nepalese,0.00017446386773269958,0.0032497346546933323,44.67%
126,53,Born in US,209,Nepalese,6.690449239657654e-05,0.0012462285189557916,17.13%
127,54,1950 - 1959,3,Pakistani,9.603515655010987e-07,1.7888447640513757e-05,0.07%
128,54,1960 - 1969,24,Pakistani,7.68281252400879e-06,0.00014310758112411005,0.56%
129,54,1970 - 1979,166,Pakistani,5.313945329106079e-05,0.0009898274361084278,3.89%
130,54,1980 - 1989,366,Pakistani,0.00011716289099113404,0.0021823906121426783,8.59%
131,54,1990 - 1999,653,Pakistani,0.00020903652409073913,0.0038937187697518274,15.32%
132,54,2000 - 2009,837,Pakistani,0.00026793808677480653,0.004990876891703338,19.63%
133,54,2010 or later,819,Pakistani,0.0002621759773817999,0.004883546205860256,19.21%
134,54,Before 1950,1,Pakistani,3.2011718850036624e-07,5.962815880171252e-06,0.02%
135,54,Born in US,1394,Pakistani,0.0004462433607695105,0.008312165336958725,32.70%
136,55,1960 - 1969,3,Sri-Lankan,9.603515655010987e-07,1.7888447640513757e-05,0.55%
137,55,1970 - 1979,25,Sri-Lankan,8.002929712509155e-06,0.0001490703970042813,4.59%
138,55,1980 - 1989,44,Sri-Lankan,1.4085156294016113e-05,0.0002623638987275351,8.07%
139,55,1990 - 1999,55,Sri-Lankan,1.7606445367520143e-05,0.0003279548734094189,10.09%
140,55,2000 - 2009,127,Sri-Lankan,4.065488293954651e-05,0.000757277616781749,23.30%
141,55,2010 or later,165,Sri-Lankan,5.2819336102560426e-05,0.0009838646202282567,30.28%
142,55,Born in US,126,Sri-Lankan,4.033476575104614e-05,0.0007513148009015778,23.12%
143,56,1950 - 1959,3,Thai,9.603515655010987e-07,1.7888447640513757e-05,0.15%
144,56,1960 - 1969,62,Thai,1.9847265687022704e-05,0.0003696945845706176,3.19%
145,56,1970 - 1979,313,Thai,0.00010019668000061463,0.001866361370493602,16.11%
146,56,1980 - 1989,213,Thai,6.8184961150578e-05,0.0012700797824764768,10.96%
147,56,1990 - 1999,204,Thai,6.53039064540747e-05,0.0012164144395549355,10.50%
148,56,2000 - 2009,372,Thai,0.00011908359412213624,0.002218167507423706,19.15%
149,56,2010 or later,403,Thai,0.00012900722696564758,0.0024030147997090145,20.74%
150,56,Born in US,373,Thai,0.0001194037113106366,0.002224130323303877,19.20%
151,57,1950 - 1959,16,Vietnamese,5.12187501600586e-06,9.540505408274003e-05,0.09%
152,57,1960 - 1969,80,Vietnamese,2.5609375080029297e-05,0.0004770252704137002,0.47%
153,57,1970 - 1979,1711,Vietnamese,0.0005477205095241266,0.010202377970973012,9.96%
154,57,1980 - 1989,2485,Vietnamese,0.0007954912134234101,0.014817597462225562,14.47%
155,57,1990 - 1999,3243,Vietnamese,0.0010381400423066876,0.01933741189939537,18.89%
156,57,2000 - 2009,2056,Vietnamese,0.0006581609395567529,0.012259549449632094,11.97%
157,57,2010 or later,2106,Vietnamese,0.0006741667989817713,0.012557690243640656,12.26%
158,57,Before 1950,14,Vietnamese,4.481640639005127e-06,8.347942232239753e-05,0.08%
159,57,Born in US,5461,Vietnamese,0.0017481599664005,0.03256293752161521,31.80%
160,58,1950 - 1959,3,Other-Asian,9.603515655010987e-07,1.7888447640513757e-05,0.19%
161,58,1960 - 1969,12,Other-Asian,3.841406262004395e-06,7.155379056205503e-05,0.75%
162,58,1970 - 1979,62,Other-Asian,1.9847265687022704e-05,0.0003696945845706176,3.86%
163,58,1980 - 1989,112,Other-Asian,3.585312511204102e-05,0.0006678353785791802,6.97%
164,58,1990 - 1999,162,Other-Asian,5.1858984537059325e-05,0.0009659761725877428,10.08%
165,58,2000 - 2009,217,Other-Asian,6.946542990457946e-05,0.0012939310459971617,13.50%
166,58,2010 or later,314,Other-Asian,0.000100516797189115,0.001872324186373773,19.54%
167,58,Born in US,725,Other-Asian,0.0002320849616627655,0.0043230415131241574,45.12%
